age_month,Total_sera,Total_person,GMT,lower_CI,upper_CI
0,204,204,6.842875664,6.659953075,7.025798253
1,7,7,5.099459733,4.323282368,5.875637099
2,197,197,5.253380076,5.102129105,5.404631047
4,132,132,4.253259958,4.095751219,4.410768696
5,2,2,3.824248374,1.870837447,5.777659301
6,148,148,3.336889582,3.212031004,3.461748161
9,9,9,7.149333867,5.943195937,8.355471796
10,24,24,6.748093529,6.090593758,7.405593299
11,37,37,7.166142236,6.609438104,7.722846369
12,40,40,7.362429485,7.028665365,7.696193605
13,26,26,6.93076386,6.555243331,7.30628439
14,26,26,6.932756741,6.372866458,7.492647024
15,26,26,6.892568898,6.449498299,7.335639497
16,6,6,7.11070628,6.44642747,7.774985089
17,9,9,7.903308488,5.745780042,10.06083693
18,2,2,7.364002435,6.807328044,7.920676825
19,7,7,8.050277539,4.989475654,11.11107942
20,8,8,7.703376179,6.931395713,8.475356645
21,9,9,7.744916797,7.203805914,8.28602768
22,22,22,7.881064739,6.979041935,8.783087543
23,35,35,7.437469645,7.239733829,7.635205462
24,32,32,7.35453985,6.651638939,8.05744076
25,39,39,7.184573858,6.951798274,7.417349441
26,28,28,7.227287789,6.827354171,7.627221408
27,28,28,7.108259567,6.807069191,7.409449943
28,14,14,6.793837315,6.309365264,7.278309366
29,12,12,6.725802144,5.90838907,7.543215218
30,7,7,7.419718503,6.852151567,7.98728544
31,3,3,7.387345694,6.680556377,8.094135011
32,7,7,6.988225951,6.467457545,7.508994357
33,7,7,7.035385355,6.104672359,7.966098351
34,9,9,6.982659939,6.634844235,7.330475643
35,33,33,7.085924244,6.768832011,7.403016476
36,35,35,6.945798533,6.621333953,7.270263112
37,32,32,6.856573213,6.604704083,7.108442342
38,40,40,6.961466004,6.657018074,7.265913934
39,25,25,6.743752952,6.379647282,7.107858623
40,16,16,6.639073992,6.169668383,7.1084796
41,22,22,6.712130413,6.364033063,7.060227763
42,10,10,6.532430796,5.189990368,7.874871223
43,4,4,6.64553695,6.242820923,7.048252978
44,7,7,7.294304253,6.748220363,7.840388142
45,6,6,6.44206818,5.591798763,7.292337597
46,3,3,6.748533068,6.407039423,7.090026713
48,9,9,7.311463407,6.771262423,7.85166439
49,7,7,7.228074628,6.339756804,8.116392452
50,2,2,7.967148853,7.517597638,8.416700068
51,6,6,6.984540764,5.922124181,8.046957347
52,7,7,6.559734926,6.041455037,7.078014815
53,3,3,6.896149275,5.158369931,8.633928619
54,3,3,6.816215081,6.23063356,7.401796602
55,7,7,7.393072329,6.726911857,8.059232802
56,5,5,6.788570287,6.198231568,7.378909005
57,5,5,6.665869301,5.994095989,7.337642613
58,6,6,6.516737947,6.147498694,6.885977201
59,2,2,6.393396823,5.130713137,7.65608051
60,3,3,7.936843509,6.45492954,9.418757479
61,7,7,6.867533211,5.926740642,7.808325779
62,3,3,7.52670594,6.996626364,8.056785515
63,3,3,6.283116669,5.407669135,7.158564203
64,2,2,6.358792792,6.282028071,6.435557512
65,2,2,6.680797582,6.209019351,7.152575813
66,3,3,7.246804804,4.941189209,9.552420399
67,5,5,7.412251513,6.599005432,8.225497595
70,4,4,6.796777883,6.147390713,7.446165053
73,4,4,6.908455898,6.282938521,7.533973274
74,3,3,7.11595706,5.552828058,8.679086062
78,2,2,6.332754077,4.459604899,8.205903256
79,2,2,6.589815825,6.128087984,7.051543666
